latitude,longitude,location/radius,position
19.39281228,-99.17324158,20,12
19.39280057,-99.17712138,20,19
19.3910323,-99.1917229,20,45
19.39000794,-99.19291484,20,48
19.39055672,-99.19930328,20,57
19.39065618,-99.20199661,20,63
19.39007258,-99.20960386,20,73
19.38743725,-99.22208798,20,90
19.37913208,-99.2466688,20,109
19.3789058,-99.2480608,20,110
19.37769308,-99.25153664,20,114
19.36177286,-99.27800796,20,140
19.36029238,-99.27979756,20,146
